Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
2CLCmesc_2_RR_S10_2	(1.0, 28.135698227464403)	(2.0, 4.049433804880262)	(3.0, 1.9239244827283766)	(4.0, 1.327542595665678)	(5.0, 1.0521713186688284)	(6.0, 0.8819106208463771)	(7.0, 0.7801565995427966)	(8.0, 0.6748239933092737)	(9.0, 0.5958454327843797)	('>10', 10.461474166071424)	('>50', 5.075690363972721)	('>100', 15.459578126776686)	('>500', 9.172090743694577)	('>1k', 16.5672948909699)	('>5k', 2.502196914160021)	('>10k+', 1.3401677184643357)
2CLCmesc_2_S2_1	(1.0, 95.27815235978785)	(2.0, 1.8265514373289815)	(3.0, 0.5230660961028248)	(4.0, 0.2818277069622707)	(5.0, 0.18703981070837544)	(6.0, 0.11272469198477279)	(7.0, 0.08262508753608842)	(8.0, 0.07274668042995108)	(9.0, 0.06792408052377316)	('>10', 0.6426829171552773)	('>50', 0.19873982303721308)	('>100', 0.3199431454471625)	('>500', 0.10229523356577537)	('>1k', 0.18632948514380449)	('>5k', 0.0)	('>10k+', 0.11735144428586171)
2CLCmesc_2_S2_2	(1.0, 70.03046040740247)	(2.0, 3.958723441220038)	(3.0, 1.5286303509130807)	(4.0, 1.0647006510204653)	(5.0, 0.8020635637225163)	(6.0, 0.5953913313830104)	(7.0, 0.5127477030614969)	(8.0, 0.4329623200445344)	(9.0, 0.40536178351724494)	('>10', 6.257072255781774)	('>50', 2.647758658386917)	('>100', 5.330319647847913)	('>500', 1.9670524725337473)	('>1k', 2.6425519742778)	('>5k', 0.5394259984018077)	('>10k+', 1.2847774404851617)
2CLCmesc_3_RR_S11_1	(1.0, 94.92964084390792)	(2.0, 2.4899411477225537)	(3.0, 0.5764955114993734)	(4.0, 0.2727448297060387)	(5.0, 0.15457372930693244)	(6.0, 0.11966885847592856)	(7.0, 0.08958484949040703)	(8.0, 0.056203739146483335)	(9.0, 0.05334016514219527)	('>10', 0.5287188783440486)	('>50', 0.13841698197031158)	('>100', 0.3217864408972747)	('>500', 0.09627011066821234)	('>1k', 0.13449446893527583)	('>5k', 0.03811944478702868)	('>10k+', 0.0)
2CLCmesc_3_RR_S11_2	(1.0, 41.19746050108759)	(2.0, 5.720131080969899)	(3.0, 2.265247497628358)	(4.0, 1.431655063909328)	(5.0, 1.0163062822956186)	(6.0, 0.8726214684929182)	(7.0, 0.7302071836875386)	(8.0, 0.6188472464998591)	(9.0, 0.5587629709292324)	('>10', 8.834848774901335)	('>50', 3.8904524736500594)	('>100', 9.903464019489881)	('>500', 5.772196136321284)	('>1k', 13.5361325433893)	('>5k', 1.6806983556711157)	('>10k+', 1.9709684010764992)
2CLCmesc_3_S5_1	(1.0, 93.47389038837842)	(2.0, 3.066104355242503)	(3.0, 0.7406748374179969)	(4.0, 0.36874309293672064)	(5.0, 0.2681965278942408)	(6.0, 0.20138949896147418)	(7.0, 0.1473749732432306)	(8.0, 0.10422485212393695)	(9.0, 0.0933220330430759)	('>10', 0.6846053035001979)	('>50', 0.1667645928050712)	('>100', 0.30096245050497333)	('>500', 0.11593111743692991)	('>1k', 0.17901813334375008)	('>5k', 0.02697272369251052)	('>10k+', 0.06182511947496794)
2CLCmesc_3_S5_2	(1.0, 65.05480499732845)	(2.0, 9.341079380039446)	(3.0, 3.601986362584178)	(4.0, 2.043063860984816)	(5.0, 1.4228794170062347)	(6.0, 1.0427929858957965)	(7.0, 0.7928326000235412)	(8.0, 0.6595290184679159)	(9.0, 0.5759367892097185)	('>10', 6.898090272530255)	('>50', 2.2543874177475343)	('>100', 3.0279201590443523)	('>500', 0.6278695847010949)	('>1k', 0.9185924797334883)	('>5k', 0.1332896761641305)	('>10k+', 1.6049449985390845)
2CLCmesc_4_RR_S12_1	(1.0, 88.5559245381272)	(2.0, 4.854480181291619)	(3.0, 1.4368362969995312)	(4.0, 0.6679661308870813)	(5.0, 0.4448525767531251)	(6.0, 0.3035363229441179)	(7.0, 0.2278535842160584)	(8.0, 0.2064409943429149)	(9.0, 0.17973659693286836)	('>10', 1.5621669648523322)	('>50', 0.2797363759742598)	('>100', 0.4650790348395689)	('>500', 0.21041487317414623)	('>1k', 0.43643128726241637)	('>5k', 0.05449017604166955)	('>10k+', 0.11405406536103406)
2CLCmesc_4_RR_S12_2	(1.0, 57.89078566610765)	(2.0, 8.274357442397033)	(3.0, 3.2204353931785086)	(4.0, 1.865645668780992)	(5.0, 1.2389744101327702)	(6.0, 0.9583142564194254)	(7.0, 0.7415719828742405)	(8.0, 0.639741571776875)	(9.0, 0.5054762455302086)	('>10', 6.998464728464484)	('>50', 2.4447712755628728)	('>100', 6.220876220516374)	('>500', 3.06308379051454)	('>1k', 3.4013008301313286)	('>5k', 0.45089995140985567)	('>10k+', 2.08530056620293)
2CLCmesc_4_S6_1	(1.0, 86.74166113898588)	(2.0, 5.325057279726312)	(3.0, 1.498032379487966)	(4.0, 0.714647382662823)	(5.0, 0.5145228005028204)	(6.0, 0.355118895067872)	(7.0, 0.29805120361917453)	(8.0, 0.23557965940928777)	(9.0, 0.19997381063777114)	('>10', 2.102785647549258)	('>50', 0.3254080693743157)	('>100', 0.5478394907722657)	('>500', 0.216041332925581)	('>1k', 0.47276010225428716)	('>5k', 0.091386549166945)	('>10k+', 0.3611342578575346)
